Time(s) Delta Theta Alpha Beta
8.450000000000000000e+01 2.238307669270194096e-03 7.447274629062367122e-04 4.406783125802173095e-04 2.278672296786821659e-04
8.500000000000000000e+01 2.312951605798676136e-03 8.581013683068136524e-04 4.158253602709182251e-04 1.988726885009719765e-04
8.550000000000000000e+01 2.104222549934506130e-03 8.290749829881246657e-04 3.579975532220616751e-04 1.825954125546943685e-04
8.600000000000000000e+01 2.175845975385494631e-03 7.196437656042964934e-04 3.065346217725593999e-04 1.682851528976915837e-04
8.650000000000000000e+01 1.939631025461252501e-03 8.716002971872801458e-04 3.830770395616856384e-04 1.943768665184248681e-04
8.700000000000000000e+01 1.838783422190947000e-03 6.787857570755206557e-04 3.313931631572462617e-04 1.863160441598704317e-04
8.750000000000000000e+01 1.303949895783045173e-03 7.383686295604186510e-04 3.847533292135211298e-04 1.838065926768197667e-04
8.800000000000000000e+01 1.021252588416432603e-03 7.335563802310829558e-04 3.105115821817061865e-04 1.837858661220828031e-04
8.850000000000000000e+01 9.662951168263045343e-04 6.879467790172856187e-04 3.431272160463203565e-04 1.777964072697596953e-04
8.900000000000000000e+01 9.168734573176495848e-04 7.245218846962310933e-04 2.631913501369167693e-04 2.020390625725860232e-04
8.950000000000000000e+01 8.365266182851643657e-04 6.622507901376183895e-04 3.001885497276591793e-04 2.090909843086949816e-04
9.000000000000000000e+01 1.054514984412406728e-03 7.139003017414204295e-04 3.986878086857561631e-04 2.091517242432302788e-04
9.050000000000000000e+01 1.808987935761145402e-03 7.685021168170762034e-04 3.781194566717614443e-04 1.904364130528890021e-04
9.100000000000000000e+01 2.353145081230691941e-03 9.503470616325471968e-04 4.582670771950039107e-04 1.710776765129483649e-04
9.150000000000000000e+01 2.725429397832878319e-03 8.461167571457640013e-04 4.704593723127939876e-04 1.621737880034748302e-04
9.200000000000000000e+01 3.001126685278254075e-03 9.322430448504393603e-04 5.426493140986713088e-04 1.430438658416292213e-04
9.250000000000000000e+01 2.924620002095845803e-03 1.104943954338543245e-03 5.499550689137906647e-04 1.615408934296136314e-04
9.300000000000000000e+01 3.368290776014133073e-03 1.186059928073947278e-03 5.858712759206195385e-04 1.670769651670618030e-04
9.350000000000000000e+01 3.456781190367695048e-03 1.070156698794951650e-03 5.393768965084021769e-04 1.603891731849650247e-04
9.400000000000000000e+01 3.759778399880221895e-03 1.303965745031627783e-03 5.609207976151486417e-04 1.810662190852926499e-04
9.450000000000000000e+01 4.115784706476626267e-03 1.317772340493111177e-03 5.263603350503634525e-04 1.738071310215523837e-04
9.500000000000000000e+01 3.688686811919778853e-03 1.387849739941566379e-03 5.264208666816240284e-04 1.915369696075610879e-04
9.550000000000000000e+01 3.742886844171738978e-03 1.446930389874402211e-03 5.108988336742505913e-04 1.912338147920284337e-04
9.600000000000000000e+01 3.594691517490198381e-03 1.428328288013949255e-03 6.794223363624017457e-04 2.135271296535309980e-04
9.650000000000000000e+01 3.712772716830133480e-03 1.297858119187886815e-03 5.897624244706290786e-04 1.948528185268141150e-04
9.700000000000000000e+01 3.331730712922360230e-03 1.303802117343222985e-03 7.008834452545947141e-04 1.792233379394511910e-04
9.750000000000000000e+01 3.834455593994969599e-03 1.636020526186762096e-03 6.521742922844178539e-04 1.711743266731616774e-04
9.800000000000000000e+01 4.384303627725559017e-03 1.540181274507175296e-03 6.896193367897628925e-04 1.581772479334789369e-04
9.850000000000000000e+01 3.417551143476954285e-03 1.492239128085687695e-03 7.417281672548370255e-04 1.532267965016456310e-04
9.900000000000000000e+01 3.758633722184797580e-03 1.184760254992686234e-03 7.959847109814500521e-04 1.564284520100356162e-04
9.950000000000000000e+01 3.723899916129965425e-03 1.385958120407995492e-03 7.658142397300793987e-04 1.539996123755829280e-04
1.000000000000000000e+02 4.153882863283039038e-03 1.215684048930074264e-03 6.642458859361320125e-04 1.553913563536262984e-04
1.005000000000000000e+02 3.960515448918374218e-03 1.618261747439272546e-03 8.321145631412540152e-04 2.221298744203849501e-04
1.010000000000000000e+02 5.885952994277313978e-03 1.957329251639793911e-03 1.058816029785508445e-03 1.938983382597024129e-04
1.015000000000000000e+02 4.900496347296117924e-03 1.810245672325386159e-03 9.305372312348852417e-04 2.101066159650053985e-04
1.020000000000000000e+02 5.261881222927666281e-03 2.155097452986130292e-03 1.017564869644172094e-03 1.914695870315340795e-04
1.025000000000000000e+02 4.521877343388091067e-03 2.235500480206754209e-03 8.017752820844273364e-04 2.213348195939514144e-04
1.030000000000000000e+02 4.684171665605196822e-03 2.130556989375879430e-03 9.214966687859014972e-04 2.032533492180458386e-04
1.035000000000000000e+02 4.213757133676987281e-03 2.203623250192359058e-03 8.228771609422238110e-04 2.162204174999331847e-04
1.040000000000000000e+02 4.246048342641616999e-03 2.216622255116745994e-03 8.972001266460971625e-04 2.075211814294361523e-04
1.045000000000000000e+02 5.102508365521576938e-03 2.322881778967300116e-03 7.260787143093595016e-04 1.358244842553264775e-04
1.050000000000000000e+02 3.721913038416381492e-03 1.583554844185663252e-03 4.552711015839760252e-04 1.400120429424885277e-04
1.055000000000000000e+02 3.624716214605425927e-03 1.737444544804741132e-03 4.983553983720134589e-04 1.354751478334489598e-04
1.060000000000000000e+02 2.907403164896877647e-03 1.280770474084209909e-03 4.512326811911998884e-04 1.506994547138559393e-04
