Time(s) Delta Theta Alpha Beta
8.950000000000000000e+01 4.540975629188132197e-03 1.815879088504744826e-03 7.271160092866427258e-04 2.313321596129414351e-04
9.000000000000000000e+01 4.529412068892579163e-03 1.811244881791102858e-03 7.262480509704395421e-04 2.309775086902068409e-04
9.050000000000000000e+01 4.517586815314868220e-03 1.806879578751464455e-03 7.256838816060859560e-04 2.305415248299636823e-04
9.100000000000000000e+01 4.506998977104620212e-03 1.802007926196978272e-03 7.252452178654742636e-04 2.301497595359378555e-04
9.150000000000000000e+01 4.491355447683060588e-03 1.796476759510748540e-03 7.250351205399254394e-04 2.295889416145036521e-04
9.200000000000000000e+01 4.476622315650701303e-03 1.790448434830738730e-03 7.247541581534340136e-04 2.290725385826312434e-04
9.250000000000000000e+01 4.461296113182942197e-03 1.783448815325324160e-03 7.252214254071729900e-04 2.284678576573788119e-04
9.300000000000000000e+01 4.448528865159949094e-03 1.777348811362056092e-03 7.250664759594027632e-04 2.280071890228874175e-04
9.350000000000000000e+01 4.435185413210878183e-03 1.771288923483745189e-03 7.249335771423794398e-04 2.275947478819455175e-04
9.400000000000000000e+01 4.424027749530233533e-03 1.765627711624107596e-03 7.251746567938780526e-04 2.273173907518725285e-04
9.450000000000000000e+01 4.411195133259116115e-03 1.760224877362293831e-03 7.255435262522044000e-04 2.270271231324801303e-04
9.500000000000000000e+01 4.399215993356217318e-03 1.754251817968663796e-03 7.255443018106935748e-04 2.267396742780400582e-04
9.550000000000000000e+01 4.387582521085143898e-03 1.749839815330241251e-03 7.246918099430689573e-04 2.264051101315881192e-04
9.600000000000000000e+01 4.377278981407181288e-03 1.744869167427807316e-03 7.240873198262801460e-04 2.261416517494737146e-04
9.650000000000000000e+01 4.364757929827827072e-03 1.740985293125572224e-03 7.235089565218961799e-04 2.259372293391489648e-04
9.700000000000000000e+01 4.350808953099825037e-03 1.735847152667381339e-03 7.235403105667901139e-04 2.257214252380433889e-04
9.750000000000000000e+01 4.336774804425278830e-03 1.731245400528877388e-03 7.232495408203220384e-04 2.253801458226135197e-04
9.800000000000000000e+01 4.323394417734549577e-03 1.726374193193323673e-03 7.233014876493509999e-04 2.249738318331610842e-04
9.850000000000000000e+01 4.311207411219459586e-03 1.721532935427479627e-03 7.233196422060458744e-04 2.244840275661423763e-04
9.900000000000000000e+01 4.299216588511772102e-03 1.716845257640075119e-03 7.231694310903472988e-04 2.240370551688495877e-04
9.950000000000000000e+01 4.286715238813939080e-03 1.711601273297550267e-03 7.233096442317159301e-04 2.236207732624386217e-04
1.000000000000000000e+02 4.274248315455824246e-03 1.706827036105122318e-03 7.234285592977864965e-04 2.233265234392370867e-04
1.005000000000000000e+02 4.262670402593481643e-03 1.701991340157979395e-03 7.234626699953038316e-04 2.230241954048939237e-04
1.010000000000000000e+02 4.252630265697062741e-03 1.697335273327145976e-03 7.224777235337331589e-04 2.227139398284697482e-04
1.015000000000000000e+02 4.245722315004291265e-03 1.692831532265979665e-03 7.215760872194941370e-04 2.224288099390824556e-04
1.020000000000000000e+02 4.238860218312526587e-03 1.688873221247399331e-03 7.201195962291125985e-04 2.221992249198079218e-04
1.025000000000000000e+02 4.239432680994701177e-03 1.684662078855256057e-03 7.188598764995494505e-04 2.220035676196954364e-04
1.030000000000000000e+02 4.246481811259065868e-03 1.682418028977626916e-03 7.178497359687141446e-04 2.218154767073663065e-04
1.035000000000000000e+02 4.251045745257360335e-03 1.679194204463558453e-03 7.168527831330354441e-04 2.215664580924008443e-04
1.040000000000000000e+02 4.259795656151449394e-03 1.676171766884586821e-03 7.161660568232848609e-04 2.212634248138868934e-04
1.045000000000000000e+02 4.268438408612754142e-03 1.672054445540991979e-03 7.148829749492785534e-04 2.208768561496339663e-04
1.050000000000000000e+02 4.278360770151403737e-03 1.668853502937118474e-03 7.145808987906160760e-04 2.205506969015972967e-04
1.055000000000000000e+02 4.291273728240579781e-03 1.665441461623500203e-03 7.140994517488480136e-04 2.202534687110144522e-04
1.060000000000000000e+02 4.304925466782317904e-03 1.661536356886607422e-03 7.146051421564293075e-04 2.199150294887972795e-04
1.065000000000000000e+02 4.311820839124412379e-03 1.658087252710460126e-03 7.148199639893531871e-04 2.196533331424053916e-04
1.070000000000000000e+02 4.313173609946091037e-03 1.654198302819411643e-03 7.149599155137755045e-04 2.194478708004841310e-04
1.075000000000000000e+02 4.315331501423730169e-03 1.650675810350852929e-03 7.155546845267981735e-04 2.192910751532362122e-04
1.080000000000000000e+02 4.316033371354716444e-03 1.647289036992023942e-03 7.156631117074073846e-04 2.191072080143214131e-04
